WT,Dmel-983KO,Dmel-975KO
0.974358974,0.990990991,0.740506329
0.98,1,0.958333333
1,1,1
1,1,0.987951807
0.951515152,1,0.888888889
0.931372549,0.980392157,0.641509434
0.992592593,0.966887417,0.957831325
1,0.92760181,0.924528302
0.893333333,0.922222222,0.9875
0.972972973,0.967032967,0.931623932
1,1,0.974576271
0.694656489,1,0.572289157
0.847682119,0.976377953,0.990384615
1,0.957055215,0.891304348
0.993506494,0.951219512,1
0.987096774,0.97515528,0.978494624
0.913978495,0.950310559,0.931034483
0.867647059,0.956989247,1
0.927710843,0.993865031,0.903225806
0.897058824,0.95483871,0.91025641
0.772727273,0.993589744,0.875
0.851190476,1,0.64
0.96031746,1,0.957446809
0.9625,0.893617021,0.984
1,1,0.442307692
0.439393939,1,0.883495146
0.956521739,0.991803279,
0.948387097,0.96,
1,0.859375,
0.641304348,1,
,1,
